algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,waitingAvgMean,waitingAvgStd,waitingCountMean,waitingSumMean,travelAvgMean,travelAvgStd,travelCountMean,travelSumMean,distanceAvgMean,distanceAvgStd,distanceCountMean,distanceSumMean,calculationAvgMean,calculationAvgStd,calculationCountMean,calculationSumMean,communicationAvgMean,communicationAvgStd,communicationCountMean,communicationSumMean,simulationAvgMean,simulationAvgStd,simulationCountMean,simulationSumMean,servedClients,servedRatio,totalTaxiDistanceKm,kmPerServedClient,calculationMsPerServedClient,communicationTotalMs,communicationMsPerServedClient,centralWaitingAvgMean,centralWaitingAvgStd,centralTravelAvgMean,centralDistanceAvgMean,centralCalculationAvgMean,centralCalculationSumMean,centralServedClients,centralServedRatio,centralKmPerServedClient,centralCalculationMsPerServedClient,waitingDeltaPct,travelDeltaPct,distanceDeltaPct,kmPerServedClientDeltaPct,calculationMsPerServedClientDeltaPct,pickupGapPoints,currentPass0,extendedPass0,currentPass5,extendedPass5,currentPass10,extendedPass10,currentPass15,extendedPass15
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,False,none,none,6.213748333333333,0.6770657286349496,612.4,3802.15,14.050640000000001,0.8067484954363962,638.0,8964.308333333334,67.8687698,1.702821131440397,39.0,2646.8820224,0.02,0.0010540925533894594,88542.7,1779.5,0.0538,0.006142746399887703,88542.7,4758.8,0.0254,0.0010749676997731396,88542.7,2263.5,612.4,0.9598746081504702,2646.8820222,4.32214569268452,2.9057805355976485,4.7588,0.00777073807968648,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,263.35726315132894,48.57826069485638,-11.334515167557113,-7.628054665090511,639.7797213532721,4.0125391849529795,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg,past-avg,2.580945,0.2316658534558068,635.7,1640.525,10.193975,0.24610274430849605,638.0,6503.755,119.4923548,2.529132902849243,39.0,4660.2018343,0.0127,0.001159501808728406,87259.1,1116.2,0.10980000000000001,0.14383076475110912,87259.1,9606.4,0.0186,0.0009660917830792956,87259.1,1620.8,635.7,0.9963949843260189,4660.2018372,7.330819312883436,1.7558596822400503,9.606399999999999,0.015111530596193171,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,50.92421856117013,7.7960203283870655,56.10784759078224,56.672654967624794,347.0225368192945,0.36050156739810824,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,6.139686666666667,0.5483706903744292,612.9,3759.9266666666663,13.972441666666665,0.7875251323933953,638.0,8914.416666666668,68.0446318,1.5797158149781831,39.0,2653.740645,0.023399999999999997,0.001173787790777267,88695.8,2060.5,0.0497,0.0028303906287138357,88695.8,4402.7,0.029099999999999997,0.0012866839377079185,88695.8,2589.3,612.9,0.9606583072100313,2653.7406402,4.329810148800783,3.3618861151900803,4.402699999999999,0.007183390438897046,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,259.0264079153574,47.75135371012802,-11.104764583605842,-7.464251597879801,755.8991785679455,3.9341692789968685,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,2.4603383333333335,0.23414234275276447,636.3,1565.5266666666666,10.088371666666665,0.2754680478267065,638.0,6436.38,134.6401137,3.713614851433301,39.0,5250.9644289,0.0128,0.0011352924243950935,87095.5,1103.0,0.0678,0.006321040701937895,87095.5,5898.7,0.0186,0.0012649110640673515,87095.5,1620.0,636.3,0.9973354231974921,5250.9644343,8.252340773691655,1.7334590601917337,5.8987,0.00927031274556027,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,43.87158205789938,6.679319623632973,75.8972645929076,76.3672085655745,341.3195851565547,0.26645768025078675,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,random,random,1.980678333333333,0.07514739304925205,637.6,1262.8633333333332,9.652893333333333,0.169211193957415,638.0,6158.545,261.32467269999995,15.207578972633817,39.0,10191.6622348,0.0089,0.0003162277660168381,87057.1,768.4,0.0711,0.007795297727904086,87057.1,6190.9,0.0147,0.0008232726023485644,87057.1,1290.5,637.6,0.9993730407523511,10191.662235299998,15.984413794385192,1.2051442910915935,6.1909,0.009709692597239649,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,15.822820586790565,2.0743611778282656,241.40119044304456,241.61536935800254,206.81646357399703,0.06269592476488839,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,False,none,none,6.213748333333333,0.6770657286349496,612.4,3802.15,14.050640000000001,0.8067484954363962,638.0,8964.308333333334,67.8687698,1.702821131440397,39.0,2646.8820224,0.0206,0.0008432740427115679,88542.7,1811.9,0.0615,0.004836206042848973,88542.7,5454.0,0.0261,0.0005676462121975467,88542.7,2310.2,612.4,0.9598746081504702,2646.8820222,4.32214569268452,2.958687132593077,5.454,0.008905943827563684,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,263.35726315132894,48.57826069485638,-11.334515167557113,-7.628054665090511,653.2491582579341,4.0125391849529795,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg,past-avg,2.580945,0.2316658534558068,635.7,1640.525,10.193975,0.24610274430849605,638.0,6503.755,119.4923548,2.529132902849243,39.0,4660.2018343,0.0127,0.0010593499054713797,87259.1,1112.2,0.064,0.004988876515698587,87259.1,5586.7,0.0189,0.0011972189997378653,87259.1,1638.3,635.7,0.9963949843260189,4660.2018372,7.330819312883436,1.7495674060091237,5.5866999999999996,0.008788264904829321,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,50.92421856117013,7.7960203283870655,56.10784759078224,56.672654967624794,345.4205925913092,0.36050156739810824,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,6.139686666666667,0.5483706903744292,612.9,3759.9266666666663,13.972441666666665,0.7875251323933953,638.0,8914.416666666668,68.0446318,1.5797158149781831,39.0,2653.740645,0.022600000000000002,0.0010749676997731396,88695.8,2000.2,0.0511,0.002330951164939612,88695.8,4529.3,0.028699999999999996,0.001337493509849259,88695.8,2537.7,612.9,0.9606583072100313,2653.7406402,4.329810148800783,3.2635013868494047,4.5293,0.0073899494207864255,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,259.0264079153574,47.75135371012802,-11.104764583605842,-7.464251597879801,730.8515102992498,3.9341692789968685,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,2.4603383333333335,0.23414234275276447,636.3,1565.5266666666666,10.088371666666665,0.2754680478267065,638.0,6436.38,134.6401137,3.713614851433301,39.0,5250.9644289,0.0124,0.0012649110640673518,87095.5,1084.1,0.067,0.005557777333511022,87095.5,5827.8,0.0187,0.0014181364924121765,87095.5,1618.7,636.3,0.9973354231974921,5250.9644343,8.252340773691655,1.7037560898947037,5.8278,0.009158887317303159,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,43.87158205789938,6.679319623632973,75.8972645929076,76.3672085655745,333.7575360545974,0.26645768025078675,False,False,False,False,False,False,False,False
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,random,random,1.980678333333333,0.07514739304925205,637.6,1262.8633333333332,9.652893333333333,0.169211193957415,638.0,6158.545,261.32467269999995,15.207578972633817,39.0,10191.6622348,0.0089,0.0005676462121975466,87057.1,773.7,0.06870000000000001,0.004448470398787529,87057.1,5979.5,0.015099999999999999,0.000567646212197547,87057.1,1306.1,637.6,0.9993730407523511,10191.662235299998,15.984413794385192,1.213456712672522,5.9795,0.009378136762860726,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,15.822820586790565,2.0743611778282656,241.40119044304456,241.61536935800254,208.9327145590858,0.06269592476488839,False,False,False,False,False,False,False,False
