metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,sumMean,sumStd,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,False,none,none,10,0.02,0.0010540925533894594,0.019,0.022,1779.5,116.41138737731423,88542.7,87028,91554,15.2,5.473166867139677,5.379999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg,past-avg,10,0.0127,0.001159501808728406,0.011,0.014,1116.2,84.27837471406556,87259.1,86844,87792,33.5,13.689006132254047,0.0001098,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.023399999999999997,0.001173787790777267,0.022,0.026,2060.5,112.35583355275033,88695.8,87028,91554,51.5,1.7159383568311628,4.97e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0128,0.0011352924243950935,0.011,0.014,1103.0,99.99888888271597,87095.5,86779,87515,40.6,14.135848832745141,6.78e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,random,random,10,0.0089,0.0003162277660168381,0.008,0.009,768.4,44.55508450845486,87057.1,86737,87412,10.8,7.64198926981712,7.110000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,False,none,none,10,0.0206,0.0008432740427115679,0.019,0.022,1811.9,65.4615238984788,88542.7,87028,91554,18.0,1.247219128924647,6.15e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg,past-avg,10,0.0127,0.0010593499054713797,0.011,0.015,1112.2,99.71492700025742,87259.1,86844,87792,25.4,21.06181378704123,6.4e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.022600000000000002,0.0010749676997731396,0.021,0.024,2000.2,112.7985421497597,88695.8,87028,91554,46.5,16.53447576698121,5.110000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0124,0.0012649110640673518,0.011,0.014,1084.1,123.5290788977775,87095.5,86779,87515,34.7,18.678865061882107,6.7e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,random,random,10,0.0089,0.0005676462121975466,0.008,0.01,773.7,42.402961112534484,87057.1,86737,87412,6.4,8.262364471909155,6.87e-05,10,
