taxiCount,clientCount,taxiSeatCount,spawnScenario,architecture,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct
39,638,1,BASELINE,Central,1.7100933333333335,9.456726666666667,76.5447456,1.0,0.0029000000000000002,0.0,4.679067521003135,0.39278996865203764,100.0,0.0
39,638,1,BASELINE,P2P mean,3.528528416666667,11.261375675925926,108.5057480611111,0.9940064437478231,0.009185,0.1349961111111111,6.6607303972914895,1.2798414962225066,99.4006443747823,1.4697453577693094
39,638,1,RUSH_HOUR,Central,1.9210166666666666,9.639435,78.07996010000001,1.0,0.0026000000000000003,0.0,4.772912921473354,0.3584639498432602,100.0,0.0
39,638,1,RUSH_HOUR,P2P mean,3.795436532407407,11.48151800925926,104.87094554222222,0.9930512016718913,0.009000555555555557,0.14170833333333333,6.444320436075672,1.2483074426670855,99.30512016718913,1.5744398493920124
39,638,1,SPATIAL_IMBALANCE,Central,3.289476666666667,9.8634,79.8336429,1.0,0.0028,0.0,4.88011296724138,0.36159874608150466,100.0,0.0
39,638,1,SPATIAL_IMBALANCE,P2P mean,6.480807092592593,12.994455101851852,99.95040142722222,0.9546055381400208,0.012170833333333334,0.15056611111111112,6.2608849323298275,1.9285370106519897,95.46055381400208,1.2371060139221728
39,638,1,SPATIAL_ISLANDS,Central,3.6515883333333337,11.113866666666667,90.0121192,1.0,0.0029000000000000002,0.0,5.502308226959248,0.3706896551724138,100.0,0.0
39,638,1,SPATIAL_ISLANDS,P2P mean,7.857067412037036,15.556011282407407,108.4309773763889,0.9336933995123651,0.012800277777777778,0.12771333333333332,6.863836827799831,2.187448694677085,93.36933995123651,0.9977387643497319
1685,27762,1,BASELINE,Central,1.31656,32.715035,267.35106940000003,1.0,0.6159,0.0,16.226732653951444,2.005993804480945,100.0,0.0
1685,27762,1,BASELINE,P2P mean,3.888058560185185,35.137102532407404,407.5959322841667,0.9995419598331853,3.9545208333333335,411.66502444444444,24.7485315239193,13.136849327198219,99.95419598331853,10.409984971490083
1685,27762,1,RUSH_HOUR,Central,41.76129166666667,71.92939166666666,349.31721000000005,0.9480512931345003,0.6152,0.0,22.363372778288593,2.107823767657809,94.80512931345004,0.0
1685,27762,1,RUSH_HOUR,P2P mean,17.836820564814815,47.707516874999996,329.8851194036111,0.9858824312209334,6.694345833333333,2349.3729758333334,20.293314144382254,23.262504362829663,98.58824312209335,35.09488506158493
1685,27762,1,SPATIAL_IMBALANCE,Central,11.979215,38.78894666666666,317.1411648,1.0,0.5977,0.0,19.2487163276421,1.9467905770477631,100.0,0.0
1685,27762,1,SPATIAL_IMBALANCE,P2P mean,48.93970109259259,73.98059048611111,361.31237794916666,0.8585600821266479,6.6677269444444445,1293.094236111111,24.092446391002195,30.24323472303745,85.85600821266479,19.39332919426939
1685,27762,1,SPATIAL_ISLANDS,Central,14.69835,44.70061333333333,365.10951059999996,1.0,0.5511,0.0,22.160129866760318,1.8178553418341619,100.0,0.0
1685,27762,1,SPATIAL_ISLANDS,P2P mean,78.35374144907408,106.38240537499999,341.028644735,0.7934350411033466,8.55930861111111,1554.3969800000002,23.451740291630443,44.678297979697575,79.34350411033466,18.160310027636907
